cat,medcodeid,aurumterm,disease_num,score
Any malignancy,153107012,carcinoma in situ of bladder,11,2
Any malignancy,289919015,monoblastic leukaemia,11,2
Any malignancy,304791000006113,[m]adenomas and adenocarcinomas,11,2
Any malignancy,289908018,aleukaemic myeloid leukaemia,11,2
Any malignancy,727811000006111,malignant neoplasm lymphatic or haematopoietic tissue os,11,2
Any malignancy,288449015,malignant neoplasm of floor of mouth nos,11,2
Any malignancy,289884015,aleukaemic lymphoid leukaemia,11,2
Any malignancy,1815251000006112,sarcoma of dendritic cells,11,2
Any malignancy,289901012,subacute myeloid leukaemia,11,2
Any malignancy,289895014,chronic eosinophilic leukaemia,11,2
Any malignancy,554641000006115,chronic granulocytic leukaemia,11,2
Any malignancy,201612010,acute myeloid leukaemia,11,2
Any malignancy,155449012,malignant neoplasm of patella,11,2
Any malignancy,293618018,"histiocytosis, unspecified",11,2
Any malignancy,380242014,carcinoma in situ of ear,11,2
Any malignancy,313521000006119,[m]myxoid chondrosarcoma,11,2
Any malignancy,289352017,malignant neoplasm of choroid plexus,11,2
Any malignancy,153313014,carcinoma in situ of sigmoid colon,11,2
Any malignancy,18484012,solitary plasmacytoma,11,2
Any malignancy,289867014,"malignant plasma cell neoplasm, extramedullary plasmacytoma",11,2
Any malignancy,288896017,malignant neoplasm of xiphoid process,11,2
Any malignancy,288635019,malignant neoplasm of pylorus of stomach,11,2
Any malignancy,695561000006118,multiple myeloma and immunoproliferative neoplasms,11,2
Any malignancy,1216359012,[v]personal history of malignant neoplasm of oesophagus,11,2
Any malignancy,291326012,[m]carcinoma nos,11,2
Any malignancy,288561014,malignant neoplasm of anterior wall of nasopharynx nos,11,2
Any malignancy,290793015,carcinoma in situ of lower lobe bronchus and lung,11,2
Any malignancy,289849019,malignant neoplasms of lymphoid and histiocytic tissue nos,11,2
Any malignancy,288602012,malignant neoplasm of upper third of oesophagus,11,2
Any malignancy,826541000006113,hodgkin's mixed cellularity of intra-abdominal lymph nodes,11,2
Any malignancy,1216361015,[v]personal history of myeloid leukaemia,11,2
Any malignancy,291480015,[m]sweat gland adenocarcinoma,11,2
Any malignancy,311601000006112,"[m]malig lymphoma, follicular centre cell, non-cleaved nos",11,2
Any malignancy,344670010,lymphoepithelioid lymphoma,11,2
Any malignancy,288532013,malignant neoplasm of pharyngeal tonsil,11,2
Any malignancy,153410011,carcinoma in situ of vagina,11,2
Any malignancy,1227556013,[v]personal history of malignant neoplasm of tongue,11,2
Any malignancy,288948018,malignant neoplasm of second metatarsal bone,11,2
Any malignancy,292110019,"[x]malignant neoplasm of mediastinum, part unspecified",11,2
Any malignancy,705211000006111,mesothelioma of pleura,11,2
Any malignancy,1815321000006110,"anaplastic large cell lymphoma, alk-negative",11,2
Any malignancy,2659772015,histiocytic sarcoma,11,2
Any malignancy,1815231000006117,other types of follicular lymphoma,11,2
Any malignancy,291398017,[m]tubular adenoma or adenocarcinoma nos,11,2
Any malignancy,316961000006114,"[m]squamous cell carcinoma, small cell, non-keratinising",11,2
Any malignancy,291617017,[m]naevi or melanoma nos,11,2
Any malignancy,288960017,malignant neoplasm of connective and other soft tissue,11,2
Any malignancy,198006010,diffuse large b-cell lymphoma,11,2
Any malignancy,291431013,[m]papillary adenocarcinoma nos,11,2
Any malignancy,289813015,other types of follicular non-hodgkin's lymphoma,11,2
Any malignancy,1668101000000112,diffuse non-hodgkin's large cell lymphoma,11,2
Any malignancy,396251000006115,"[x]malignant neoplasm of eye, brain and other parts of cent",11,2
Any malignancy,289159016,malignant neoplasm of male breast nos,11,2
Any malignancy,289801013,diffuse non-hodgkin's small cleaved cell (diffuse) lymphoma,11,2
Any malignancy,289223017,malignant neoplasm of undescended testis,11,2
Any malignancy,746301000006117,leukaemic reticuloend of intra-abdominal lymph nodes,11,2
Any malignancy,2839871014,non-hodgkin lymphoma,11,2
Any malignancy,307251000006119,[m]congenital fibrosarcoma,11,2
Any malignancy,456641000006119,acute erythraemia and erythroleukaemia,11,2
Any malignancy,1222221019,[m]lymphoblastic lymphoma nos,11,2
Any malignancy,310361000006113,"[m]insulinoma, malignant",11,2
Any malignancy,289590012,reticulosarcoma nos,11,2
Any malignancy,1216064018,"[m]squamous cell carcinoma, keratinising type nos",11,2
Any malignancy,291887011,"[m]lymphomas, nos or diffuse",11,2
Any malignancy,288822013,"malignant neoplasm of middle lobe, bronchus or lung",11,2
Any malignancy,1221171011,malignant neuroleptic syndrome,11,2
Any malignancy,157686016,nodular lymphoma of intra-abdominal lymph nodes,11,2
Any malignancy,289219013,malignant neoplasm of female genital organ nos,11,2
Any malignancy,396381000006118,[x]malignant neoplasm of respiratory and intrathoracic orga,11,2
Any malignancy,745001000006114,leukaemic reticuloendotheliosis,11,2
Any malignancy,288991011,malignant neoplasm of connective and soft tissue of abdomen,11,2
Any malignancy,154193012,malignant histiocytosis of spleen,11,2
Any malignancy,728581000006115,malignant histiocytosis of lymph nodes inguinal and leg,11,2
Any malignancy,154185012,malignant histiocytosis of intrathoracic lymph nodes,11,2
Any malignancy,406054011,"carcinoma in situ of lip, oral cavity and pharynx",11,2
Any malignancy,289748015,sezary's disease of lymph nodes of multiple sites,11,2
Any malignancy,289746016,sezary's disease of intrapelvic lymph nodes,11,2
Any malignancy,289080013,malignant neoplasm of skin of external auditory meatus,11,2
Any malignancy,288811014,malignant neoplasm of trachea nos,11,2
Any malignancy,1219468014,"malignant neoplasm, overlapping lesion of larynx",11,2
Any malignancy,146651000006118,sezary's disease,11,2
Any malignancy,174577011,intraductal carcinoma in situ of breast,11,2
Any malignancy,403710016,lymphoid and histiocytic malignancy nos,11,2
Any malignancy,396511000006119,[x]malignant neoplasm/ill-defined sites within resp system,11,2
Any malignancy,292213013,"[x]melanoma in situ, unspecified",11,2
Any malignancy,110346017,lymphoma stage iv,11,2
Any malignancy,289206014,malignant neoplasm of gartner's duct,11,2
Any malignancy,721271000006114,malignant neoplasm of thymus,11,2
Any malignancy,312101000006110,[m]mast cell sarcoma,11,2
Any malignancy,1221209015,"[m]hepatocellular carcinoma, fibrolamellar",11,2
Any malignancy,729331000006116,"malig neop of bone, connective tissue, skin and breast",11,2
Any malignancy,289701017,"hodgkin's disease, lymphocytic depletion nos",11,2
Any malignancy,317201000006115,[m]superficial spreading melanoma,11,2
Any malignancy,291377017,[m]pancreatic adenoma or carcinoma nos,11,2
Any malignancy,289633018,hodgkin's granuloma of lymph nodes of axilla and upper limb,11,2
Any malignancy,155364013,malignant neoplasm of male breast,11,2
Any malignancy,746031000006110,letterer-siwe disease of lymph nodes of axilla and arm,11,2
Any malignancy,746311000006119,leukaemic reticuloend of lymph nodes inguinal region and leg,11,2
Any malignancy,291958014,[m]histiocytic medullary reticulosis,11,2
Any malignancy,289743012,sezary's disease of intra-abdominal lymph nodes,11,2
Any malignancy,153388012,carcinoma in situ of transverse colon,11,2
Any malignancy,312281000006114,[m]melanoma nos,11,2
Any malignancy,1220814017,[m]angiocentrict-cell lymphoma,11,2
Any malignancy,155425014,malignant neoplasm of optic nerve,11,2
Any malignancy,291448017,[m]parathyroid adenoma or adenocarcinoma nos,11,2
Any malignancy,289122017,malignant neoplasm of skin of lower leg,11,2
Any malignancy,155536016,malignant neoplasm of skin of forehead,11,2
Any malignancy,291943018,"[m]malignant lymphoma, centroblastic-centrocytic, follicular",11,2
Any malignancy,291383019,[m]hepatobiliary adenoma or carcinoma nos,11,2
Any malignancy,289111016,malignant neoplasm of skin of fore-arm,11,2
Any malignancy,459399016,local recurrence of malignant tumour of urinary bladder,11,2
Any malignancy,826671000006118,hodgkin's nodular sclerosis of lymph nodes of multiple sites,11,2
Any malignancy,311911000006116,"[m]malignant lymphoma, stem cell type",11,2
Any malignancy,289191015,malignant neoplasm of myometrium of corpus uteri,11,2
Any malignancy,826631000006116,hodgkin's nodular sclerosis of intra-abdominal lymph nodes,11,2
Any malignancy,826651000006111,hodgkin's nodular sclerosis of intrathoracic lymph nodes,11,2
Any malignancy,289876019,lymphoid leukaemia,11,2
Any malignancy,459378019,local recurrence of malignant tumour of breast,11,2
Any malignancy,396531000006113,[x]malignant neoplasm/other specified female genital organs,11,2
Any malignancy,153149019,carcinoma in situ of endometrium,11,2
Any malignancy,587201000006115,non - hodgkin's lymphoma,11,2
Any malignancy,288761012,angiosarcoma of spleen,11,2
Any malignancy,153340014,carcinoma in situ of skin of lip,11,2
Any malignancy,726361000006119,malignant neoplasm of common bile duct,11,2
Any malignancy,154872012,hodgkin's sarcoma of spleen,11,2
Any malignancy,289643015,hodgkin's sarcoma of lymph nodes of axilla and upper limb,11,2
Any malignancy,154862014,hodgkin's sarcoma of intra-abdominal lymph nodes,11,2
Any malignancy,403698016,malignant neoplasm of short bones of leg,11,2
Any malignancy,819461000006112,heilmeyer - schoner disease,11,2
Any malignancy,313931000006111,[m]neurofibrosarcoma,11,2
Any malignancy,154837014,hodgkin's granuloma of intrapelvic lymph nodes,11,2
Any malignancy,344761000006113,[v]personal history of malig neop of gastrointestinal tract,11,2
Any malignancy,288355012,"malignant neoplasm of lower lip, vermilion border nos",11,2
Any malignancy,288404018,malignant neoplasm of overlapping lesion of lip,11,2
Any malignancy,287029018,hiv disease resulting in burkitt's lymphoma,11,2
Any malignancy,307441000006115,"[m]cystosarcoma phyllodes, malignant",11,2
Any malignancy,289626018,hodgkin's paragranuloma of lymph nodes of multiple sites,11,2
Any malignancy,154859011,hodgkin's paragranuloma of spleen,11,2
Any malignancy,289624015,hodgkin's paragranuloma of intrapelvic lymph nodes,11,2
Any malignancy,288772019,malignant neoplasm of nasal conchae,11,2
Any malignancy,155259011,malignant neoplasm of frontal bone,11,2
Any malignancy,307831000006110,[m]embryonal sarcoma,11,2
Any malignancy,1815031000006110,hodgkin lymphoma,11,2
Any malignancy,290843013,carcinoma in situ of skin of lower limb and hip,11,2
Any malignancy,1219533011,"malignant neoplasm, overlapping lesion of floor of mouth",11,2
Any malignancy,403771011,carcinoma of lip,11,2
Any malignancy,155155010,malignant neoplasm of broad ligament,11,2
Any malignancy,531851000006119,ca female breast,11,2
Any malignancy,291525012,[m]mucinous adenoma and adenocarcinoma,11,2
Any malignancy,666261000006112,familial erythrophagocytic lymph histiocytosis,11,2
Any malignancy,177051000006111,renal malignant neoplasm,11,2
Any malignancy,305791000006112,"[m]basal cell carcinoma, fibroepithelial type",11,2
Any malignancy,396111000006110,[x]mal neoplasm/overlap les/periph nerv+autonomic nerv systm,11,2
Any malignancy,289593014,"lymphosarcoma of lymph nodes of head, face and neck",11,2
Any malignancy,289591011,lymphosarcoma,11,2
Any malignancy,723031000006117,malignant neoplasm of postcricoid region,11,2
Any malignancy,2475984012,malignant neoplasm of palatoglossal arch,11,2
Any malignancy,291695012,[m]cystosarcoma phyllodes nos,11,2
Any malignancy,291374012,"[m]adenocarcinoma, metastatic, nos",11,2
Any malignancy,312421000006114,[m]mesenchymal chondrosarcoma,11,2
Any malignancy,289179012,malignant neoplasm of cervical stump,11,2
Any malignancy,315631000006118,[m]polygonal cell carcinoma,11,2
Any malignancy,139571000006117,solitary myeloma,11,2
Any malignancy,722481000006116,malignant neoplasm of renal pelvis,11,2
Any malignancy,304551000006111,[m]adenocarcinoma in situ,11,2
Any malignancy,454091013,primary malignant neoplasm of unknown site,11,2
Any malignancy,291451012,[m]thyroid adenoma and adenocarcinoma,11,2
Any malignancy,289566011,malignant neoplasms of independent (primary) multiple sites,11,2
Any malignancy,288690014,primary carcinoma of liver,11,2
Any malignancy,306821000006110,[m]choriocarcinoma combined with teratoma,11,2
Any malignancy,173944012,kaposi's sarcoma of skin,11,2
Any malignancy,307921000006115,"[m]endometrioid adenofibroma, malignant",11,2
Any malignancy,289142014,malignant neoplasm of upper-inner quadrant of female breast,11,2
Any malignancy,290776015,carcinoma in situ of respiratory system,11,2
Any malignancy,1221109014,[m]hodgkin's disease,11,2
Any malignancy,1815431000006118,other mature t/nk-cell lymphoma,11,2
Any malignancy,289594015,lymphosarcoma of intrathoracic lymph nodes,11,2
Any malignancy,146741000006114,sezary's disease of spleen,11,2
Any malignancy,724681000006111,"malignant neoplasm of meninges, unspecified",11,2
Any malignancy,311671000006118,[m]malignant lymphoma nos,11,2
Any malignancy,1770481000006118,[m]superficial basal cell carcinoma,11,2
Any malignancy,304271000006116,[m]acinar cell carcinoma,11,2
Any malignancy,379089019,rectal carcinoma,11,2
Any malignancy,1217360013,"malignant neoplasm, overlapping lesion of hypopharynx",11,2
Any malignancy,289381016,malignant neoplasm of spinal arachnoid mater,11,2
Any malignancy,311351000006119,[m]lymphoblastic lymphosarcoma nos,11,2
Any malignancy,1224870013,[m]hepatocellular carcinoma nos,11,2
Any malignancy,289773015,leukaemic reticuloendotheliosis nos,11,2
Any malignancy,289396017,malignant neoplasm of other specified part of nervous system,11,2
Any malignancy,967761000006115,langerhans' cell histiocytosis,11,2
Any malignancy,291933016,"[m]hodgkin,s disease, nodular sclerosis, mixed cellularity",11,2
Any malignancy,396551000006118,[x]malignant neoplasm/overlap lesion/bone+articulr cartilage,11,2
Any malignancy,154183017,malignant histiocytosis of intra-abdominal lymph nodes,11,2
Any malignancy,289611015,burkitt's lymphoma of lymph nodes of multiple sites,11,2
Any malignancy,155539011,malignant neoplasm of skin of hip,11,2
Any malignancy,289426010,malignant neoplasm of cheek nos,11,2
Any malignancy,2901912012,diffuse follicle centre lymphoma,11,2
Any malignancy,81411000006113,unspec malig neop lymphoid/histiocytic lymph node axilla/arm,11,2
Any malignancy,153338016,carcinoma in situ of skin of knee,11,2
Any malignancy,305211000006112,[m]alveolar rhabdomyosarcoma,11,2
Any malignancy,313701000006118,"[m]neoplasm, malignant",11,2
Any malignancy,554151000006112,chronic erythraemia,11,2
Any malignancy,291953017,"[m]lymphoma, nodular or follicular nos",11,2
Any malignancy,306661000006117,[m]chondroblastic osteosarcoma,11,2
Any malignancy,290819010,carcinoma in situ of skin of jaw,11,2
Any malignancy,291372011,[m]adenocarcinoma nos,11,2
Any malignancy,153133016,carcinoma in situ of colon,11,2
Any malignancy,729471000006114,malig neop of endocrine gland or related structure nos,11,2
Any malignancy,311461000006111,"[m]lymphomas, nodular or follicular",11,2
Any malignancy,289451011,malignant neoplasm of flank nos,11,2
Any malignancy,288377011,"malignant neoplasm of upper lip, inner aspect nos",11,2
Any malignancy,289325010,malignant neoplasm of lacrimal sac,11,2
Any malignancy,155477015,malignant neoplasm of presacral region,11,2
Any malignancy,726071000006111,malignant neoplasm of endocardium,11,2
Any malignancy,308641000006117,[m]fibromyxosarcoma,11,2
Any malignancy,153364010,carcinoma in situ of sphenoidal sinus,11,2
Any malignancy,308501000006115,[m]fibrochondrosarcoma,11,2
Any malignancy,289428011,malignant neoplasm of jaw nos,11,2
Any malignancy,146721000006119,sezary's disease of lymph nodes of inguinal region and leg,11,2
Any malignancy,289421017,malignant neoplasm of other specified endocrine gland,11,2
Any malignancy,289007013,"malignant neoplasm of connective and soft tissue, site nos",11,2
Any malignancy,289285010,malignant neoplasm of kidney parenchyma,11,2
Any malignancy,288800018,malignant neoplasm of cricoid cartilage,11,2
Any malignancy,722961000006116,malignant neoplasm of pineal gland,11,2
Any malignancy,1216486011,oesophageal cancer,11,2
Any malignancy,289409016,malignant neoplasm of craniopharyngeal duct,11,2
Any malignancy,288685011,malignant neoplasm of anus unspecified,11,2
Any malignancy,289406011,malignant neoplasm of adrenal gland nos,11,2
Any malignancy,153246017,carcinoma in situ of mastoid air cells,11,2
Any malignancy,317821000006114,[m]tubular adenocarcinoma,11,2
Any malignancy,723801000006115,"malignant neoplasm of other sites lip, oral cavity, pharynx",11,2
Any malignancy,482741013,malignant neoplasm of cauda equina,11,2
Any malignancy,722511000006112,malignant neoplasm of retained testis,11,2
Any malignancy,289637017,hodgkin's granuloma of lymph nodes of multiple sites,11,2
Any malignancy,825771000006119,hiv disease resulting in kaposi's sarcoma,11,2
Any malignancy,722911000006119,"malignant neoplasm of peripheral nerves of head, face & neck",11,2
Any malignancy,728461000006112,malig neopl peripheral nerves and autonomic nervous system,11,2
Any malignancy,289380015,malignant neoplasm of spinal dura mater,11,2
Any malignancy,309361000006119,[m]glomoid sarcoma,11,2
Any malignancy,312171000006116,[m]medullary carcinoma with lymphoid stroma,11,2
Any malignancy,2124491000000113,follicular lymphoma grade 3a,11,2
Any malignancy,289376013,malignant neoplasm of cerebral arachnoid mater,11,2
Any malignancy,1232355013,[m]pigmented dermatofibrosarcoma protuberans,11,2
Any malignancy,289374011,malignant neoplasm of cranial nerves nos,11,2
Any malignancy,288652015,malignant neoplasm of other specified site of stomach,11,2
Any malignancy,289596018,lymphosarcoma of lymph nodes of axilla and upper limb,11,2
Any malignancy,729501000006119,malig neop of other and unspecified parts of nervous system,11,2
Any malignancy,344657018,t-zone lymphoma,11,2
Any malignancy,288857011,malignant neoplasm of other site of respiratory tract,11,2
Any malignancy,727521000006118,malignant neoplasm of brain stem nos,11,2
Any malignancy,153344017,carcinoma in situ of skin of nose,11,2
Any malignancy,720991000006113,malignant neoplasm of urethra,11,2
Any malignancy,727511000006114,malignant neoplasm of brain stem,11,2
Any malignancy,289781019,malignant mast cell tumours,11,2
Any malignancy,307091000006117,[m]colloid adenocarcinoma,11,2
Any malignancy,153203015,carcinoma in situ of jejunum,11,2
Any malignancy,306681000006110,"[m]chondroblastoma, malignant",11,2
Any malignancy,289339010,malignant neoplasm of corpus striatum,11,2
Any malignancy,291484012,[m]sebaceous adenoma and adenocarcinoma,11,2
Any malignancy,290806011,carcinoma in situ of skin of eyelid including canthus,11,2
Any malignancy,396121000006119,[x]mal neoplasm/overlap lesion/bone+articular cartilage/limb,11,2
Any malignancy,289341011,malignant neoplasm of globus pallidus,11,2
Any malignancy,291536017,[m]comedocarcinoma nos,11,2
Any malignancy,288443019,malignant neoplasm of anterior portion of floor of mouth,11,2
Any malignancy,2692069010,malignant neoplasm of brain,11,2
Any malignancy,288423013,malignant neoplasm of anterior 2/3 of tongue ventral surface,11,2
Any malignancy,289326011,malignant neoplasm of nasolacrimal duct,11,2
Any malignancy,289356019,malignant neoplasm of medulla oblongata,11,2
Any malignancy,722521000006116,malignant neoplasm of retina,11,2
Any malignancy,1227555012,[v]personal history of malignant neoplasm of anus,11,2
Any malignancy,27148012,clark melanoma level 5,11,2
Any malignancy,727381000006110,malignant neoplasm of base of tongue,11,2
Any malignancy,289311014,malignant neoplasm of iris,11,2
Any malignancy,313501000006112,[m]myosarcoma,11,2
Any malignancy,289301019,malignant neoplasm of genitourinary organ nos,11,2
Any malignancy,396481000006110,"[x]malignant neoplasm/bones+articular cartilage/limb,unspfd",11,2
Any malignancy,155308013,malignant neoplasm of ischium,11,2
Any malignancy,291316017,"[m]tumour cells, uncertain whether benign or malignant",11,2
Any malignancy,289296019,malignant neoplasm of renal pelvis nos,11,2
Any malignancy,1227562015,[v]personal history of malignant neoplasm of middle ear,11,2
Any malignancy,289288012,hypernephroma,11,2
Any malignancy,288913013,malignant neoplasm of carpal bone - trapezium,11,2
Any malignancy,315951000006117,[m]reticulosarcoma nos,11,2
Any malignancy,1231028010,"[m]desmoplastic melanoma, malignant",11,2
Any malignancy,289013016,malignant melanoma of external auditory meatus,11,2
Any malignancy,82041000006113,unspecified b-cell non-hodgkin's lymphoma,11,2
Any malignancy,1815151000006116,follicular lymphoma,11,2
Any malignancy,289738017,mycosis fungoides of lymph nodes of multiple sites,11,2
Any malignancy,289585014,reticulosarcoma of lymph nodes of axilla and upper limb,11,2
Any malignancy,720591000006115,"malignant neoplasm, overlapping lesion male genital orgs",11,2
Any malignancy,723601000006116,malignant neoplasm of other and ill defined site nos,11,2
Any malignancy,1219540012,"malignant neoplasm, overlapping lesion of penis",11,2
Any malignancy,725771000006116,malignant neoplasm of glans penis,11,2
Any malignancy,289249010,"malignant neoplasm of penis, part unspecified",11,2
Any malignancy,289832014,malignant lymphoma nos of intrathoracic lymph nodes,11,2
Any malignancy,1227558014,[v]personal history of malignant neoplasm of liver,11,2
Any malignancy,289726014,nodular lymphoma nos,11,2
Any malignancy,290783010,carcinoma in situ of aryepiglottic fold,11,2
Any malignancy,309641000006111,"[m]haemangioendothelioma, malignant",11,2
Any malignancy,109391000006119,teratoma of undescended testis,11,2
Any malignancy,457318018,seminoma of undescended testis,11,2
Any malignancy,291470019,[m]adenoma or adenocarcinoma nos,11,2
Any malignancy,722361000006115,malignant neoplasm of prostate,11,2
Any malignancy,288607018,malignant neoplasm of middle third of oesophagus,11,2
Any malignancy,289699017,"hodgkin's disease, lymphocytic depletion of spleen",11,2
Any malignancy,291539012,[m]intraductal carcinoma and lobular carcinoma in situ,11,2
Any malignancy,403701012,malignant neoplasm of vulva unspecified,11,2
Any malignancy,312061000006112,"[m]malignant tumour, giant cell type",11,2
Any malignancy,288808013,"malignant neoplasm of trachea, bronchus and lung",11,2
Any malignancy,288801019,malignant neoplasm of cuneiform cartilage,11,2
Any malignancy,721721000006119,malignant neoplasm of sphenoidal sinus,11,2
Any malignancy,726271000006117,malignant neoplasm of fallopian tube,11,2
Any malignancy,173816012,overlapping malignant melanoma of skin,11,2
Any malignancy,289203018,malignant neoplasm of other site of uterine adnexa,11,2
Any malignancy,155677013,malignant neoplasm of vomer,11,2
Any malignancy,289669014,"hodgkin's disease, nodular sclerosis nos",11,2
Any malignancy,155556015,malignant neoplasm of skin of umbilicus,11,2
Any malignancy,289194011,malignant neoplasm of lower uterine segment,11,2
Any malignancy,730001000006117,"malig neo, overlapping lesion of heart, mediastinum & pleura",11,2
Any malignancy,289192010,malignant neoplasm of corpus uteri nos,11,2
Any malignancy,289188015,malignant neoplasm of cornu of corpus uteri,11,2
Any malignancy,155468010,malignant neoplasm of placenta,11,2
Any malignancy,289182019,malignant neoplasm of cervix uteri nos,11,2
Any malignancy,288438014,malignant neoplasm of major salivary gland nos,11,2
Any malignancy,537021000006110,carcinoma in situ skin of ear/external auricular canal nos,11,2
Any malignancy,289175018,"malignant neoplasm, overlapping lesion of cervix uteri",11,2
Any malignancy,1230128019,[m]choriocarcinoma,11,2
Any malignancy,289419010,malignant neoplasm of aortic body or paraganglia nos,11,2
